count,game_id,plyr_id,name
1,290913004,8207,marcus-thomas
2,290920007,8207,marcus-thomas
3,290927013,8207,marcus-thomas
4,291004007,8207,marcus-thomas
5,291011007,8207,marcus-thomas
6,291019024,8207,marcus-thomas
7,291101033,8207,marcus-thomas
8,291109007,8207,marcus-thomas
9,291115028,8207,marcus-thomas
10,291122007,8207,marcus-thomas
11,291126007,8207,marcus-thomas
12,291206012,8207,marcus-thomas
13,291213011,8207,marcus-thomas
14,291220007,8207,marcus-thomas
15,291227021,8207,marcus-thomas
16,300103007,8207,marcus-thomas
17,300912030,8207,marcus-thomas
18,300919007,8207,marcus-thomas
19,300926007,8207,marcus-thomas
20,301003010,8207,marcus-thomas
21,301010033,8207,marcus-thomas
22,301017007,8207,marcus-thomas
23,301024007,8207,marcus-thomas
24,301031025,8207,marcus-thomas
25,301114007,8207,marcus-thomas
26,301122024,8207,marcus-thomas
27,301128007,8207,marcus-thomas
28,301205012,8207,marcus-thomas
29,301212022,8207,marcus-thomas
30,301219013,8207,marcus-thomas
31,301226007,8207,marcus-thomas
32,310102007,8207,marcus-thomas
33,311009007,8207,marcus-thomas
34,311023015,8207,marcus-thomas
35,311030007,8207,marcus-thomas
36,311106013,8207,marcus-thomas
37,311113012,8207,marcus-thomas
38,311117007,8207,marcus-thomas
39,311127024,8207,marcus-thomas
40,311204016,8207,marcus-thomas
41,311211007,8207,marcus-thomas
42,311218007,8207,marcus-thomas
43,311224002,8207,marcus-thomas
44,320101007,8207,marcus-thomas
45,320108007,8207,marcus-thomas
46,320114017,8207,marcus-thomas
47,330908002,16418,zach-sudfeld
48,330905007,16419,brynden-trawick
49,330908002,16421,joe-vellano
50,290913018,43,john-carney
51,290920021,43,john-carney
52,290927002,43,john-carney
53,291004018,43,john-carney
54,291018018,43,john-carney
55,291025015,43,john-carney
56,291102018,43,john-carney
57,291108018,43,john-carney
58,291115014,43,john-carney
59,291122027,43,john-carney
60,291130018,43,john-carney
61,301003018,43,john-carney
62,301010022,43,john-carney
63,330908005,16436,eric-martin
64,330908029,16443,melvin-white
65,330908030,16449,laroy-reynolds
66,330908014,16463,ray-ray-armstrong
67,330908006,16473,jeff-heath
68,330908005,16478,brandon-magee
69,290913005,112,brett-favre
70,290920008,112,brett-favre
71,290927016,112,brett-favre
72,291005016,112,brett-favre
73,291011014,112,brett-favre
74,291018016,112,brett-favre
75,291025023,112,brett-favre
76,291101009,112,brett-favre
77,291115016,112,brett-favre
78,291122016,112,brett-favre
79,291129016,112,brett-favre
80,291206022,112,brett-favre
81,291213016,112,brett-favre
82,291220029,112,brett-favre
83,291228003,112,brett-favre
84,300103016,112,brett-favre
85,300117016,112,brett-favre
86,300124018,112,brett-favre
87,300909018,112,brett-favre
88,300919016,112,brett-favre
89,300926016,112,brett-favre
90,301011020,112,brett-favre
91,301017016,112,brett-favre
92,301024009,112,brett-favre
93,301031017,112,brett-favre
94,301107016,112,brett-favre
95,301114003,112,brett-favre
96,301121016,112,brett-favre
97,301128028,112,brett-favre
98,301205016,112,brett-favre
99,301220016,112,brett-favre
100,291101020,8460,matt-roth
101,291108017,8460,matt-roth
102,291115015,8460,matt-roth
103,291119029,8460,matt-roth
104,291129004,8460,matt-roth
105,291206005,8460,matt-roth
106,291210005,8460,matt-roth
107,291220012,8460,matt-roth
108,291227005,8460,matt-roth
109,300103005,8460,matt-roth
110,300912027,8460,matt-roth
111,300919005,8460,matt-roth
112,300926033,8460,matt-roth
113,301003005,8460,matt-roth
114,301010005,8460,matt-roth
115,301017023,8460,matt-roth
116,301024018,8460,matt-roth
117,301107005,8460,matt-roth
118,301114005,8460,matt-roth
119,301121030,8460,matt-roth
120,301128005,8460,matt-roth
121,301205015,8460,matt-roth
122,301212002,8460,matt-roth
123,301219004,8460,matt-roth
124,301226005,8460,matt-roth
125,310102005,8460,matt-roth
126,310911030,8460,matt-roth
127,310918020,8460,matt-roth
128,311002030,8460,matt-roth
129,311009030,8460,matt-roth
130,311016023,8460,matt-roth
131,311024030,8460,matt-roth
132,311030034,8460,matt-roth
133,311113011,8460,matt-roth
134,311120005,8460,matt-roth
135,290913011,8313,ryan-lilja
136,290921015,8313,ryan-lilja
137,290927022,8313,ryan-lilja
138,291004011,8313,ryan-lilja
139,291011010,8313,ryan-lilja
140,291025014,8313,ryan-lilja
141,291101011,8313,ryan-lilja
142,291108011,8313,ryan-lilja
143,291115011,8313,ryan-lilja
144,291122033,8313,ryan-lilja
145,291129034,8313,ryan-lilja
146,291206011,8313,ryan-lilja
147,291213011,8313,ryan-lilja
148,291217030,8313,ryan-lilja
149,291227011,8313,ryan-lilja
150,300103002,8313,ryan-lilja
151,300116011,8313,ryan-lilja
152,300124011,8313,ryan-lilja
153,300207011,8313,ryan-lilja
154,300913012,8313,ryan-lilja
155,300919005,8313,ryan-lilja
156,300926012,8313,ryan-lilja
157,301010011,8313,ryan-lilja
158,301017034,8313,ryan-lilja
159,301024012,8313,ryan-lilja
160,301107013,8313,ryan-lilja
161,301114007,8313,ryan-lilja
162,301121012,8313,ryan-lilja
163,301128026,8313,ryan-lilja
164,301205012,8313,ryan-lilja
165,301212024,8313,ryan-lilja
166,301219014,8313,ryan-lilja
167,301226012,8313,ryan-lilja
168,310102012,8313,ryan-lilja
169,310109012,8313,ryan-lilja
170,310911012,8313,ryan-lilja
171,310918008,8313,ryan-lilja
172,310925024,8313,ryan-lilja
173,311002012,8313,ryan-lilja
174,311009011,8313,ryan-lilja
175,311023013,8313,ryan-lilja
176,311031012,8313,ryan-lilja
177,311106012,8313,ryan-lilja
178,311113012,8313,ryan-lilja
179,311121017,8313,ryan-lilja
180,311204003,8313,ryan-lilja
181,311211020,8313,ryan-lilja
182,311218012,8313,ryan-lilja
183,311224012,8313,ryan-lilja
184,320101007,8313,ryan-lilja
185,320909012,8313,ryan-lilja
186,320916002,8313,ryan-lilja
187,320923018,8313,ryan-lilja
188,320930012,8313,ryan-lilja
189,321007012,8313,ryan-lilja
190,321014027,8313,ryan-lilja
191,321028012,8313,ryan-lilja
192,321101024,8313,ryan-lilja
193,321112023,8313,ryan-lilja
194,321125012,8313,ryan-lilja
195,321202012,8313,ryan-lilja
196,321209005,8313,ryan-lilja
197,321216013,8313,ryan-lilja
198,321223012,8313,ryan-lilja
199,321230007,8313,ryan-lilja
200,290913029,139,john-kasay
201,290920001,139,john-kasay
202,290928006,139,john-kasay
203,291011029,139,john-kasay
204,291018027,139,john-kasay
205,291025029,139,john-kasay
206,291101022,139,john-kasay
207,291108018,139,john-kasay
208,291115029,139,john-kasay
209,291119029,139,john-kasay
210,291129020,139,john-kasay
211,291206029,139,john-kasay
212,291213017,139,john-kasay
213,291220029,139,john-kasay
214,291227019,139,john-kasay
215,300103029,139,john-kasay
216,300912019,139,john-kasay
217,300919029,139,john-kasay
218,300926029,139,john-kasay
219,301003018,139,john-kasay
220,301010029,139,john-kasay
221,301024029,139,john-kasay
222,301031014,139,john-kasay
223,301107029,139,john-kasay
224,301114027,139,john-kasay
225,301121029,139,john-kasay
226,301128005,139,john-kasay
227,301205026,139,john-kasay
228,301212029,139,john-kasay
229,301219029,139,john-kasay
230,301223023,139,john-kasay
231,310102001,139,john-kasay
232,310908009,139,john-kasay
233,310918018,139,john-kasay
234,310925018,139,john-kasay
235,311002030,139,john-kasay
236,311009029,139,john-kasay
237,311016027,139,john-kasay
238,311023018,139,john-kasay
239,311030014,139,john-kasay
240,311106018,139,john-kasay
241,311113001,139,john-kasay
242,311128018,139,john-kasay
243,311204018,139,john-kasay
244,311211010,139,john-kasay
245,311218016,139,john-kasay
246,311226018,139,john-kasay
247,320101018,139,john-kasay
248,320107018,139,john-kasay
249,320114025,139,john-kasay
250,330908029,16528,benson-mayowa
251,330915013,16531,ryan-robinson
252,310912007,169,stefen-wisniewski
253,310918002,169,stefen-wisniewski
254,310925013,169,stefen-wisniewski
255,311002013,169,stefen-wisniewski
256,311009034,169,stefen-wisniewski
257,311016013,169,stefen-wisniewski
258,311023013,169,stefen-wisniewski
259,311106013,169,stefen-wisniewski
260,311110024,169,stefen-wisniewski
261,311120016,169,stefen-wisniewski
262,311127013,169,stefen-wisniewski
263,311204015,169,stefen-wisniewski
264,311211009,169,stefen-wisniewski
265,311218013,169,stefen-wisniewski
266,311224012,169,stefen-wisniewski
267,320101013,169,stefen-wisniewski
268,320916015,169,stefen-wisniewski
269,320923013,169,stefen-wisniewski
270,320930007,169,stefen-wisniewski
271,321014001,169,stefen-wisniewski
272,321021013,169,stefen-wisniewski
273,321028012,169,stefen-wisniewski
274,321104013,169,stefen-wisniewski
275,321111033,169,stefen-wisniewski
276,321118013,169,stefen-wisniewski
277,321125004,169,stefen-wisniewski
278,321202013,169,stefen-wisniewski
279,321206013,169,stefen-wisniewski
280,321216013,169,stefen-wisniewski
281,321223029,169,stefen-wisniewski
282,321230024,169,stefen-wisniewski
283,330908011,169,stefen-wisniewski
284,290913018,8362,don-muhlbach
285,290920008,8362,don-muhlbach
286,290927008,8362,don-muhlbach
287,291004003,8362,don-muhlbach
288,291011008,8362,don-muhlbach
289,291018009,8362,don-muhlbach
290,291101008,8362,don-muhlbach
291,291108026,8362,don-muhlbach
292,291115016,8362,don-muhlbach
293,291122008,8362,don-muhlbach
294,291126008,8362,don-muhlbach
295,291206004,8362,don-muhlbach
296,291213033,8362,don-muhlbach
297,291227025,8362,don-muhlbach
298,300103008,8362,don-muhlbach
299,300912003,8362,don-muhlbach
300,300919008,8362,don-muhlbach
301,300926016,8362,don-muhlbach
302,301003009,8362,don-muhlbach
303,301010008,8362,don-muhlbach
304,301017019,8362,don-muhlbach
305,301031008,8362,don-muhlbach
306,301107008,8362,don-muhlbach
307,301114002,8362,don-muhlbach
308,301121006,8362,don-muhlbach
309,301125008,8362,don-muhlbach
310,301205008,8362,don-muhlbach
311,301212008,8362,don-muhlbach
312,301219027,8362,don-muhlbach
313,301226015,8362,don-muhlbach
314,310102008,8362,don-muhlbach
315,310911027,8362,don-muhlbach
316,310918008,8362,don-muhlbach
317,310925016,8362,don-muhlbach
318,311002006,8362,don-muhlbach
319,311010008,8362,don-muhlbach
320,311016008,8362,don-muhlbach
321,311023008,8362,don-muhlbach
322,311030007,8362,don-muhlbach
