,game_id,plyr_id,name,fntsy_pts
0,290927033,10020,anthony-madison,0.0
1,291018023,10020,anthony-madison,0.0
2,291115011,10020,anthony-madison,0.0
3,291129034,10020,anthony-madison,0.0
4,291206023,10020,anthony-madison,0.0
5,291210005,10020,anthony-madison,0.0
6,291220023,10020,anthony-madison,0.0
7,291227023,10020,anthony-madison,0.0
8,290913033,10025,corey-mays,0.0
9,290920012,10025,corey-mays,0.0
10,290927021,10025,corey-mays,0.0
11,291004012,10025,corey-mays,0.0
12,291011012,10025,corey-mays,0.0
13,291018028,10025,corey-mays,0.0
14,291025012,10025,corey-mays,0.0
15,291108030,10025,corey-mays,0.0
16,291115013,10025,corey-mays,0.0
17,291122012,10025,corey-mays,0.0
18,291129024,10025,corey-mays,0.0
19,291206012,10025,corey-mays,0.0
20,291213012,10025,corey-mays,0.0
21,291220012,10025,corey-mays,0.0
22,291227004,10025,corey-mays,0.0
23,290913001,10031,tony-mcdaniel,0.0
24,291004015,10031,tony-mcdaniel,0.0
25,291108017,10031,tony-mcdaniel,0.0
26,291119029,10031,tony-mcdaniel,0.0
27,291129002,10031,tony-mcdaniel,1.5
28,291206015,10031,tony-mcdaniel,0.0
29,291213030,10031,tony-mcdaniel,0.0
30,291220010,10031,tony-mcdaniel,0.0
31,291227015,10031,tony-mcdaniel,0.0
32,290920008,10042,jayme-mitchell,0.0
33,291220029,10042,jayme-mitchell,0.0
34,291206003,10049,ryan-neill,0.0
35,291213010,10049,ryan-neill,0.0
36,290913011,10057,montell-owens,0.3
37,290920030,10057,montell-owens,-0.2
38,290927034,10057,montell-owens,0.0
39,291011026,10057,montell-owens,0.0
40,291101010,10057,montell-owens,0.0
41,291108030,10057,montell-owens,0.0
42,291122030,10057,montell-owens,0.0
43,291129025,10057,montell-owens,0.0
44,291206030,10057,montell-owens,0.0
45,291213030,10057,montell-owens,0.0
46,291004028,10062,donald-penn,0.0
47,291011021,10062,donald-penn,1.5
48,290913034,10127,steve-weatherford,0.0
49,290920020,10127,steve-weatherford,0.0
50,290927020,10127,steve-weatherford,0.0
51,291004018,10127,steve-weatherford,0.0
52,291012015,10127,steve-weatherford,2.6
53,291018020,10127,steve-weatherford,-1.0
54,291025013,10127,steve-weatherford,1.6
55,291101020,10127,steve-weatherford,0.0
56,291115020,10127,steve-weatherford,0.0
57,291122017,10127,steve-weatherford,0.0
58,291129020,10127,steve-weatherford,0.0
59,291203002,10127,steve-weatherford,0.0
60,291213027,10127,steve-weatherford,0.0
61,291220020,10127,steve-weatherford,0.0
62,291227011,10127,steve-weatherford,0.0
63,290914017,10136,pierre-woods,0.0
64,290920020,10136,pierre-woods,0.0
65,290927017,10136,pierre-woods,0.0
66,291004017,10136,pierre-woods,0.0
67,291011007,10136,pierre-woods,0.0
68,291018017,10136,pierre-woods,0.0
69,291025027,10136,pierre-woods,0.0
70,291108017,10136,pierre-woods,0.0
71,291115011,10136,pierre-woods,0.0
72,291122017,10136,pierre-woods,0.0
73,291130018,10136,pierre-woods,0.0
74,291206015,10136,pierre-woods,0.0
75,291213017,10136,pierre-woods,0.0
76,291220002,10136,pierre-woods,0.0
77,291227017,10136,pierre-woods,0.0
78,290913034,10137,wallace-wright,0.0
79,290920020,10137,wallace-wright,0.0
80,290927020,10137,wallace-wright,0.0
81,291012015,10137,wallace-wright,0.0
82,291018020,10137,wallace-wright,0.0
83,291025013,10137,wallace-wright,2.1
84,291101020,10137,wallace-wright,0.0
85,291122017,10137,wallace-wright,0.0
86,291129020,10137,wallace-wright,0.0
87,291203002,10137,wallace-wright,0.0
88,291213027,10137,wallace-wright,0.0
89,291220020,10137,wallace-wright,0.0
90,291227011,10137,wallace-wright,0.0
91,290927016,10138,ahmad-brooks,0.0
92,291004025,10138,ahmad-brooks,0.0
93,291011025,10138,ahmad-brooks,0.0
94,291025034,10138,ahmad-brooks,1.0
95,291129025,10138,ahmad-brooks,0.0
96,291206026,10138,ahmad-brooks,1.0
97,291214025,10138,ahmad-brooks,3.0
98,291227025,10138,ahmad-brooks,1.0
99,290913027,10147,miles-austin,10.2
100,290920006,10147,miles-austin,2.0
101,290928006,10147,miles-austin,0.0
102,291004007,10147,miles-austin,1.9
103,291011012,10147,miles-austin,37.0
104,291025006,10147,miles-austin,29.1
105,291101006,10147,miles-austin,13.2
106,291108021,10147,miles-austin,10.9
107,291115009,10147,miles-austin,2.0
108,291122006,10147,miles-austin,4.7
109,291126006,10147,miles-austin,20.5
110,291206019,10147,miles-austin,16.4
111,291213006,10147,miles-austin,13.1
112,291219018,10147,miles-austin,19.9
113,291227028,10147,miles-austin,7.9
114,290927014,10163,quincy-butler,0.0
115,291004025,10163,quincy-butler,-2.0
116,291011014,10163,quincy-butler,0.0
117,291025014,10163,quincy-butler,0.0
118,291101008,10163,quincy-butler,0.0
119,291115014,10163,quincy-butler,0.0
120,291122014,10163,quincy-butler,0.0
121,291129014,10163,quincy-butler,0.0
122,291206003,10163,quincy-butler,0.0
123,291213010,10163,quincy-butler,0.0
124,291220014,10163,quincy-butler,0.0
125,290913018,10167,jeff-charleston,0.0
126,290920021,10167,jeff-charleston,0.0
127,290927002,10167,jeff-charleston,0.0
128,291004018,10167,jeff-charleston,0.0
129,291018018,10167,jeff-charleston,0.0
130,291130018,10167,jeff-charleston,0.0
131,291206028,10167,jeff-charleston,0.0
132,291227018,10167,jeff-charleston,0.0
133,290913005,10174,abram-elam,1.0
134,290920007,10174,abram-elam,0.0
135,290927033,10174,abram-elam,0.0
136,291004005,10174,abram-elam,0.0
137,291011002,10174,abram-elam,0.0
138,291018023,10174,abram-elam,0.0
139,291025005,10174,abram-elam,0.0
140,291101003,10174,abram-elam,0.0
141,291116005,10174,abram-elam,0.0
142,291122008,10174,abram-elam,0.0
143,291129004,10174,abram-elam,0.0
144,291206005,10174,abram-elam,0.0
145,291210005,10174,abram-elam,0.0
146,291220012,10174,abram-elam,0.0
147,291227005,10174,abram-elam,0.0
148,290914013,10180,hiram-eugene,0.0
149,290920012,10180,hiram-eugene,0.0
150,291011019,10180,hiram-eugene,0.0
151,291018013,10180,hiram-eugene,0.0
152,291025013,10180,hiram-eugene,0.0
153,291101024,10180,hiram-eugene,0.0
154,291115013,10180,hiram-eugene,0.0
155,291122013,10180,hiram-eugene,0.0
156,291126006,10180,hiram-eugene,0.0
157,291206023,10180,hiram-eugene,2.0
158,291213013,10180,hiram-eugene,0.0
159,291220007,10180,hiram-eugene,0.0
160,291227005,10180,hiram-eugene,0.0
161,290927021,10183,thomas-gafford,0.0
162,291018028,10183,thomas-gafford,0.0
163,291206012,10183,thomas-gafford,0.0
164,291220012,10183,thomas-gafford,0.0
165,291227004,10183,thomas-gafford,0.0
166,290910023,10188,ahmard-hall,0.4
167,290920010,10188,ahmard-hall,0.0
168,290927020,10188,ahmard-hall,0.0
169,291004030,10188,ahmard-hall,1.2
170,291011010,10188,ahmard-hall,0.7
171,291018017,10188,ahmard-hall,0.0
172,291115010,10188,ahmard-hall,0.2
173,291123034,10188,ahmard-hall,0.4
174,291129010,10188,ahmard-hall,1.0
175,291206011,10188,ahmard-hall,-0.1
176,291213010,10188,ahmard-hall,0.4
177,291225010,10188,ahmard-hall,0.0
178,290913027,10194,sam-hurd,0.0
179,290920006,10194,sam-hurd,0.7
180,290928006,10194,sam-hurd,0.0
181,291004007,10194,sam-hurd,6.2
182,291011012,10194,sam-hurd,1.0
183,291101006,10194,sam-hurd,9.6
184,291122006,10194,sam-hurd,0.0
185,291126006,10194,sam-hurd,0.0
186,291206019,10194,sam-hurd,0.0
187,291213006,10194,sam-hurd,0.0
188,291219018,10194,sam-hurd,0.6
189,291227028,10194,sam-hurd,0.0
190,290914017,10195,fred-jackson,20.0
