,plyr_id,name,position,is_starter
277,5559,chris-snee,RG,1
278,15808,justin-pugh,RT,1
279,13553,victor-cruz,WR,1
280,12585,louis-murphy,WR,0
281,5526,eli-manning,QB,1
282,12479,curtis-painter,QB,0
283,14608,henry-hynoski,FB,1
284,14887,david-wilson,RB,1
285,14087,da'rel-scott,RB,0
286,11283,desean-jackson,WR,1
287,15624,damaris-johnson,WR,0
288,10605,brent-celek,TE,1
289,15600,emil-igwenagu,TE,0
290,6012,jason-peters,LT,1
291,8493,evan-mathis,LG,1
292,14124,jason-kelce,C,1
293,8540,todd-herremans,RG,1
294,15797,lane-johnson,RT,1
295,13225,riley-cooper,WR,1
296,9695,jason-avant,WR,0
297,2549,michael-vick,QB,1
298,14877,nick-foles,QB,0
299,12535,james-casey,FB,1
300,12514,lesean-mccoy,RB,1
301,15092,bryce-brown,RB,0
302,11439,pierre-garcon,WR,1
303,14164,aldrick-robinson,WR,0
304,11282,fred-davis,TE,1
305,13726,logan-paulsen,TE,0
306,13241,trent-williams,LT,1
307,11342,kory-lichtensteiger,LG,1
308,9820,will-montgomery,C,1
309,9642,chris-chester,RG,1
310,11572,tyler-polumbus,RT,1
311,11408,josh-morgan,WR,1
312,14021,leonard-hankerson,WR,0
313,14875,robert-griffin-iii,QB,1
314,14880,kirk-cousins,QB,0
315,13097,darrel-young,FB,1
316,15009,alfred-morris,RB,1
317,14192,roy-helu,RB,0
318,5528,larry-fitzgerald,WR,1
319,16172,jaron-brown,WR,0
320,14009,rob-housler,TE,1
321,12553,kory-sperry,TE,0
322,10450,levi-brown,LT,1
323,9633,daryn-colledge,LG,1
324,11075,lyle-sendlein,C,1
325,12651,paul-fanaika,RG,1
326,9652,eric-winston,RT,1
327,14908,michael-floyd,WR,1
328,13226,andre-roberts,WR,0
329,4459,carson-palmer,QB,1
330,10487,drew-stanton,QB,0
331,11257,rashard-mendenhall,RB,1
332,14051,ryan-williams,RB,0
333,15078,chris-givens,WR,1
334,14914,brian-quick,WR,0
335,12537,jared-cook,TE,1
336,14007,lance-kendricks,TE,0
337,11234,jake-long,LT,1
338,11248,chris-williams,LG,1
339,5776,scott-wells,C,1
340,9500,harvey-dahl,RG,1
341,13294,rodger-saffold,RT,1
342,14035,austin-pettis,WR,1
343,15786,tavon-austin,WR,0
344,13197,sam-bradford,QB,1
345,9635,kellen-clemens,QB,0
346,15111,daryl-richardson,RB,1
347,15996,zac-stacy,RB,0
348,13488,kyle-williams,WR,1
349,16026,quinton-patton,WR,0
350,9592,vernon-davis,TE,1
351,15853,vance-mcdonald,TE,0
352,10472,joe-staley,LT,1
353,13246,mike-iupati,LG,1
354,3682,jonathan-goodwin,C,1
355,12910,alex-boone,RG,1
356,13253,anthony-davis,RT,1
357,4512,anquan-boldin,WR,1
358,13616,marlon-moore,WR,0
359,14001,colin-kaepernick,QB,1
360,13199,colt-mccoy,QB,0
361,14083,bruce-miller,FB,1
362,8479,frank-gore,RB,1
363,14159,kendall-hunter,RB,0
364,10488,sidney-rice,WR,1
365,14221,doug-baldwin,WR,0
366,10482,zach-miller,TE,1
367,16121,luke-willson,TE,0
368,13242,russell-okung,LT,1
369,9655,paul-mcquistan,LG,1
370,12624,max-unger,C,1
371,15025,j.r.-sweezy,RG,1
372,11384,breno-giacomini,RT,1
373,13217,golden-tate,WR,1
374,13490,stephen-williams,WR,0
375,14881,russell-wilson,QB,1
376,9650,tarvaris-jackson,QB,0
377,15351,derrick-coleman,FB,1
378,10456,marshawn-lynch,RB,1
379,14894,robert-turbin,RB,0
380,9705,brandon-marshall,WR,1
381,11304,earl-bennett,WR,0
382,11295,martellus-bennett,TE,1
383,13863,steve-maneri,TE,0
384,10568,jermon-bushrod,LT,1
385,12728,matt-slauson,LG,1
386,2648,roberto-garza,C,1
387,15801,kyle-long,RG,1
388,16004,jordan-mills,RT,1
389,14912,alshon-jeffery,WR,1
390,15659,joe-anderson,WR,0
391,9597,jay-cutler,QB,1
392,3609,josh-mccown,QB,0
393,12496,tony-fiammetta,FB,1
394,11278,matt-forte,RB,1
395,10544,michael-bush,RB,0
396,10447,calvin-johnson,WR,1
397,14919,ryan-broyles,WR,0
398,12549,brandon-pettigrew,TE,1
399,9647,tony-scheffler,TE,0
400,14930,riley-reiff,LT,1
401,9714,rob-sims,LG,1
402,2598,dominic-raiola,C,1
403,8543,dylan-gandy,RG,1
404,13364,jason-fox,RT,1
405,4529,nate-burleson,WR,1
406,15474,pat-edwards,WR,0
407,12483,matthew-stafford,QB,1
408,4260,shaun-hill,QB,0
409,9588,reggie-bush,RB,1
410,14052,mikel-leshoure,RB,0
411,11270,jordy-nelson,WR,1
412,10522,james-jones,WR,0
413,11325,jermichael-finley,TE,1
414,13440,andrew-quarless,TE,0
415,15963,david-bakhtiari,LT,1
416,11382,josh-sitton,LG,1
417,12972,evan-dietrich-smith,C,1
418,12680,t.j.-lang,RG,1
419,15409,don-barclay,RT,1
420,14053,randall-cobb,WR,1
421,15358,jarrett-boykin,WR,0
422,8439,aaron-rodgers,QB,1
423,4568,seneca-wallace,QB,0
424,9530,john-kuhn,FB,1
425,15848,eddie-lacy,RB,1
426,13214,james-starks,RB,0
427,9638,greg-jennings,WR,1
428,14918,jarius-wright,WR,0
429,14054,kyle-rudolph,TE,1
430,11272,john-carlson,TE,0
431,14928,matt-kalil,LT,1
432,9785,charlie-johnson,LG,1
433,11421,john-sullivan,C,1
434,14208,brandon-fusco,RG,1
435,12615,phil-loadholt,RT,1
436,11280,jerome-simpson,WR,1
437,15807,cordarrelle-patterson,WR,0
438,13966,christian-ponder,QB,1
439,8644,matt-cassel,QB,0
440,16366,zach-line,FB,1
441,10452,adrian-peterson,RB,1
442,13211,toby-gerhart,RB,0
443,13982,julio-jones,WR,1
444,11318,harry-douglas,WR,0
445,1231,tony-gonzalez,TE,1
446,12536,chase-coffman,TE,0
447,11255,sam-baker,LT,1
448,10483,justin-blalock,LG,1
449,14968,peter-konz,C,1
450,12718,garrett-reynolds,RG,1
451,14986,lamar-holmes,RT,1
452,8442,roddy-white,WR,1
453,14478,drew-davis,WR,0
454,11237,matt-ryan,QB,1
455,15162,dominique-davis,QB,0
456,15050,bradie-ewing,FB,1
457,5549,steven-jackson,RB,1
458,14193,jacquizz-rodgers,RB,0
459,2622,steve-smith,WR,1
460,13275,armanti-edwards,WR,0
461,10475,greg-olsen,TE,1
462,5593,ben-hartsock,TE,0
463,4466,jordan-gross,LT,1
464,14981,amini-silatolu,LG,1
465,10503,ryan-kalil,C,1
466,13451,chris-scott,RG,1
467,14753,byron-bell,RT,1
468,12576,brandon-lafell,WR,1
469,10453,ted-ginn,WR,0
470,13994,cam-newton,QB,1
471,8627,derek-anderson,QB,0
472,11658,mike-tolbert,FB,1
473,9613,deangelo-williams,RB,1
474,15921,kenjon-barner,RB,0
475,9838,marques-colston,WR,1
476,14921,nick-toon,WR,0
477,13232,jimmy-graham,TE,1
478,5557,benjamin-watson,TE,0
479,13263,charles-brown,LT,1
480,10473,ben-grubbs,LG,1
481,11692,brian-de-la-puente,C,1
482,9694,jahri-evans,RG,1
483,9796,zach-strief,RT,1
484,9400,lance-moore,WR,1
485,16016,kenny-stills,WR,0
486,2580,drew-brees,QB,1
487,5631,luke-mccown,QB,0
488,11517,jed-collins,FB,1
489,10713,pierre-thomas,RB,1
490,13981,mark-ingram,RB,0
491,8475,vincent-jackson,WR,1
492,12588,kevin-ogletree,WR,0
493,14099,luke-stocker,TE,1
494,13102,tom-crabtree,TE,0
495,10062,donald-penn,LT,1
496,11398,carl-nicks,LG,1
497,11317,jeremy-zuttah,C,1
498,9609,davin-joseph,RG,1
499,13050,demar-dotson,RT,1
500,13489,mike-williams,WR,1
501,15385,eric-page,WR,0
502,12473,josh-freeman,QB,1
503,15837,mike-glennon,QB,0
504,13407,erik-lorig,FB,1
505,14885,doug-martin,RB,1
506,10496,brian-leonard,RB,0
