count,game_id,plyr_id
1,290913004,8207
2,290920007,8207
3,290927013,8207
4,291004007,8207
5,291011007,8207
6,291019024,8207
7,291101033,8207
8,291109007,8207
9,291115028,8207
10,291122007,8207
11,291126007,8207
12,291206012,8207
13,291213011,8207
14,291220007,8207
15,291227021,8207
16,300103007,8207
17,300912030,8207
18,300919007,8207
19,300926007,8207
20,301003010,8207
21,301010033,8207
22,301017007,8207
23,301024007,8207
24,301031025,8207
25,301114007,8207
26,301122024,8207
27,301128007,8207
28,301205012,8207
29,301212022,8207
30,301219013,8207
31,301226007,8207
32,310102007,8207
33,311009007,8207
34,311023015,8207
35,311030007,8207
36,311106013,8207
37,311113012,8207
38,311117007,8207
39,311127024,8207
40,311204016,8207
41,311211007,8207
42,311218007,8207
43,311224002,8207
44,320101007,8207
45,320108007,8207
46,320114017,8207
47,290913018,43
48,290920021,43
49,290927002,43
50,291004018,43
51,291018018,43
52,291025015,43
53,291102018,43
54,291108018,43
55,291115014,43
56,291122027,43
57,291130018,43
58,301003018,43
59,301010022,43
60,290913005,112
61,290920008,112
62,290927016,112
63,291005016,112
64,291011014,112
65,291018016,112
66,291025023,112
67,291101009,112
68,291115016,112
69,291122016,112
70,291129016,112
71,291206022,112
72,291213016,112
73,291220029,112
74,291228003,112
75,300103016,112
76,300117016,112
77,300124018,112
78,300909018,112
79,300919016,112
80,300926016,112
81,301011020,112
82,301017016,112
83,301024009,112
84,301031017,112
85,301107016,112
86,301114003,112
87,301121016,112
88,301128028,112
89,301205016,112
90,301220016,112
91,291101020,8460
92,291108017,8460
93,291115015,8460
94,291119029,8460
95,291129004,8460
96,291206005,8460
97,291210005,8460
98,291220012,8460
99,291227005,8460
100,300103005,8460
101,300912027,8460
102,300919005,8460
103,300926033,8460
104,301003005,8460
105,301010005,8460
106,301017023,8460
107,301024018,8460
108,301107005,8460
109,301114005,8460
110,301121030,8460
111,301128005,8460
112,301205015,8460
113,301212002,8460
114,301219004,8460
115,301226005,8460
116,310102005,8460
117,310911030,8460
118,310918020,8460
119,311002030,8460
120,311009030,8460
121,311016023,8460
122,311024030,8460
123,311030034,8460
124,311113011,8460
125,311120005,8460
126,290913011,8313
127,290921015,8313
128,290927022,8313
129,291004011,8313
130,291011010,8313
131,291025014,8313
132,291101011,8313
133,291108011,8313
134,291115011,8313
135,291122033,8313
136,291129034,8313
137,291206011,8313
138,291213011,8313
139,291217030,8313
140,291227011,8313
141,300103002,8313
142,300116011,8313
143,300124011,8313
144,300207011,8313
145,300913012,8313
146,300919005,8313
147,300926012,8313
148,301010011,8313
149,301017034,8313
150,301024012,8313
151,301107013,8313
152,301114007,8313
153,301121012,8313
154,301128026,8313
155,301205012,8313
156,301212024,8313
157,301219014,8313
158,301226012,8313
159,310102012,8313
160,310109012,8313
161,310911012,8313
162,310918008,8313
163,310925024,8313
164,311002012,8313
165,311009011,8313
166,311023013,8313
167,311031012,8313
168,311106012,8313
169,311113012,8313
170,311121017,8313
171,311204003,8313
172,311211020,8313
173,311218012,8313
174,311224012,8313
175,320101007,8313
176,320909012,8313
177,320916002,8313
178,320923018,8313
179,320930012,8313
180,321007012,8313
181,321014027,8313
182,321028012,8313
183,321101024,8313
184,321112023,8313
185,321125012,8313
186,321202012,8313
187,321209005,8313
188,321216013,8313
189,321223012,8313
190,321230007,8313
191,290913029,139
192,290920001,139
193,290928006,139
194,291011029,139
195,291018027,139
196,291025029,139
197,291101022,139
198,291108018,139
199,291115029,139
200,291119029,139
201,291129020,139
202,291206029,139
203,291213017,139
204,291220029,139
205,291227019,139
206,300103029,139
207,300912019,139
208,300919029,139
209,300926029,139
210,301003018,139
211,301010029,139
212,301024029,139
213,301031014,139
214,301107029,139
215,301114027,139
216,301121029,139
217,301128005,139
218,301205026,139
219,301212029,139
220,301219029,139
221,301223023,139
222,310102001,139
223,310908009,139
224,310918018,139
225,310925018,139
226,311002030,139
227,311009029,139
228,311016027,139
229,311023018,139
230,311030014,139
231,311106018,139
232,311113001,139
233,311128018,139
234,311204018,139
235,311211010,139
236,311218016,139
237,311226018,139
238,320101018,139
239,320107018,139
240,320114025,139
241,310912007,169
242,310918002,169
243,310925013,169
244,311002013,169
245,311009034,169
246,311016013,169
247,311023013,169
248,311106013,169
249,311110024,169
250,311120016,169
251,311127013,169
252,311204015,169
253,311211009,169
254,311218013,169
255,311224012,169
256,320101013,169
257,320916015,169
258,320923013,169
259,320930007,169
260,321014001,169
261,321021013,169
262,321028012,169
263,321104013,169
264,321111033,169
265,321118013,169
266,321125004,169
267,321202013,169
268,321206013,169
269,321216013,169
270,321223029,169
271,321230024,169
272,290913018,8362
273,290920008,8362
274,290927008,8362
275,291004003,8362
276,291011008,8362
277,291018009,8362
278,291101008,8362
279,291108026,8362
280,291115016,8362
281,291122008,8362
282,291126008,8362
283,291206004,8362
284,291213033,8362
285,291227025,8362
286,300103008,8362
287,300912003,8362
288,300919008,8362
289,300926016,8362
290,301003009,8362
291,301010008,8362
292,301017019,8362
293,301031008,8362
294,301107008,8362
295,301114002,8362
296,301121006,8362
297,301125008,8362
298,301205008,8362
299,301212008,8362
300,301219027,8362
301,301226015,8362
302,310102008,8362
303,310911027,8362
304,310918008,8362
305,310925016,8362
306,311002006,8362
307,311010008,8362
308,311016008,8362
309,311023008,8362
310,311030007,8362
311,311113003,8362
312,311120008,8362
313,311124008,8362
314,311204018,8362
315,311211008,8362
316,311218013,8362
317,311224008,8362
318,320101009,8362
319,320107018,8362
320,320909008,8362
321,320916025,8362
322,320923010,8362
323,320930008,8362
324,321014021,8362
325,321022003,8362
326,321028008,8362
327,321104030,8362
328,321111016,8362
329,321118008,8362
330,321122008,8362
331,321202008,8362
332,321209009,8362
333,321216022,8362
334,321222008,8362
335,321230008,8362
336,290914013,1643
337,300912030,1643
338,300919007,1643
339,300926007,1643
340,301003010,1643
341,301010033,1643
342,301017007,1643
343,301024007,1643
344,301031025,1643
345,301114007,1643
346,301122024,1643
347,301128007,1643
348,301205012,1643
349,301212022,1643
350,301219013,1643
351,301226007,1643
352,310102007,1643
353,291025034,8416
354,291101011,8416
355,291108025,8416
356,291112025,8416
357,291122009,8416
358,291129025,8416
359,291206026,8416
360,291214025,8416
361,291220021,8416
362,291227025,8416
363,300103014,8416
364,300912026,8416
365,300920025,8416
366,300926012,8416
367,301003001,8416
368,301010025,8416
369,301017025,8416
370,301024029,8416
371,301212025,8416
372,301216024,8416
373,301226014,8416
374,310102025,8416
375,310911025,8416
376,310918025,8416
377,310925004,8416
378,311002021,8416
379,311009025,8416
380,311016008,8416
381,311030025,8416
382,311106028,8416
383,311113025,8416
384,311120025,8416
385,311124033,8416
386,311204025,8416
387,311211022,8416
388,311219025,8416
389,311224026,8416
