,game_id,plyr_id,name,is_starter
0,290910023,734,kerry-collins,1
1,290910023,5536,ben-roethlisberger,1
2,290910023,11258,chris-johnson,1
3,290910023,9631,lendale-white,1
4,290910023,5880,willie-parker,1
5,290910023,5644,mewelde-moore,1
6,290910023,11257,rashard-mendenhall,1
7,290910023,12556,kenny-britt,1
8,290910023,4601,justin-gage,1
9,290910023,8593,bo-scaife,1
10,290910023,9307,nate-washington,1
11,290910023,2583,alge-crumpler,1
12,290910023,10188,ahmard-hall,1
13,290910023,9611,santonio-holmes,1
14,290910023,1494,hines-ward,1
15,290910023,8444,heath-miller,1
16,290910023,12601,mike-wallace,1
17,290910023,9801,cortland-finnegan,0
18,290910023,9702,stephen-tulloch,0
19,290910023,5618,keyaron-fox,0
20,290910023,8522,vincent-fuller,0
21,290910023,4474,troy-polamalu,0
22,290910023,3622,chris-hope,0
23,290910023,10463,michael-griffin,0
24,290910023,2890,nick-harper,0
25,290910023,2161,keith-bulluck,0
26,290910023,11337,william-hayes,0
27,290910023,8603,jovan-haye,0
28,290910023,11288,jason-jones,0
29,290910023,10647,jacob-ford,0
30,290910023,3634,david-thornton,0
31,290910023,8630,kevin-vickerson,0
32,290910023,5480,tony-brown,0
33,290910023,1767,jevon-kearse,0
34,290910023,2582,kyle-vanden-bosch,0
35,290910023,9847,colin-allred,0
36,290910023,8455,michael-roos,0
37,290910023,12520,javon-ringer,0
38,290910023,3743,brett-keisel,0
39,290910023,1219,james-farrior,0
40,290910023,4301,ryan-clark,0
41,290910023,11428,ryan-mundy,0
42,290910023,4433,james-harrison,0
43,290910023,2567,casey-hampton,0
44,290910023,10613,william-gay,0
45,290910023,1862,aaron-smith,0
46,290910023,9494,arnold-harrison,0
47,290910023,2899,chris-hoke,0
48,290910023,9323,andre-frazier,0
49,290910023,1515,deshea-townsend,0
50,290910023,4583,ike-taylor,0
51,290910023,10490,lamarr-woodley,0
52,290910023,11496,patrick-bailey,0
53,290910023,2249,tyrone-carter,0
54,290910023,5600,max-starks,0
55,290910023,12021,stefan-logan,0
56,290910023,9235,rob-bironas,1
57,290910023,4399,jeff-reed,1
58,290910023,538,craig-hentrich,0
59,290910023,10556,daniel-sepulveda,0
60,290913001,2149,chad-pennington,1
